text,text_cleaned_full
cushionnya ada dibio ku no 1🥰🥰gf,cushionnya dibio ku no gf
@Catatansenja 🤣🤣🤣,catatansenja
😭😭😭kak,kak
namanya aja Baby Kepo 😄,namanya baby kepo
dari neneknya jenifer,neneknya jenifer
cushionnya ada dibio ku no 1🥰🥰m,cushionnya dibio ku no
😂,
aku yg ngajarin ka,ngajarin ka
cushion nya di bioku no 1🥰🥰a,cushion nya bioku no
Siapa kmu nyuruh nyuruh,siapa kmu nyuruh nyuruh
Gak,
'mayi minta' gemes bgt adee🥺💗,mayi minta gemes adee
mamariii tuu aslinya putihh yaa😭,mamariii tuu aslinya putihh
“mayi mintak” lucu bgt mayi🥰😚,mayi mintak lucu mayi
mayi ga mau bgt kesaing😭,mayi mau kesaing
"""gua mintak😭"" kamari",gua mintak kamari
ihh lucu banget kamari 😭,ihh lucu kamari
"terngiang-ngiang "" jangan takut ada mayyiiiii""",terngiangngiang jangan takut mayyiiiii
GEMES BNR SI MAYII BNR’ YA ALLAH😭❤,gemes bnr si mayii bnr allah
"poni si blonde engga lu potong lagi kan til, kok engga panjang panjang😭",poni si blonde engga lu potong lagi til kok engga panjang panjang
di zoom coba kaaa🤣🤣,zoom coba kaaa
cushion nya di bioku no 1🥰s,cushion nya bioku no
KO UDA GEDE AJAA SIIIII ADEKKK🥺🥺💕💕,ko gede ajaa siiiii adekkk
siapapun mmpir vt ku dongs,siapapun mmpir vt ku dongs
"ihhh, sekarang kamari gembul bgt jadi lucuuuu",ihhh sekarang kamari gembul lucuuuu
Mayi catik kan?🤏🏻🤏🏻,mayi catik
"yaallah poni nyaa, mengingatkan ku waktu motong rambut Berbie pas masih kecil 😭🤣",yaallah poni nyaa mengingatkan ku waktu motong rambut berbie pas masih kecil
yaa ampun mayiiuuuu 😻❤,mayiiuuuu
hy kamari❤️❤️❤,hy kamari
"mayi udah pintar ngomong yah, bikin gemes 🥰",mayi pintar ngomong bikin gemes
langsung jadi MUA aja mayi 🥰,langsung mua mayi
adeeekkk 🤭🤭💋,adeeekkk
"""oke, mayi minta"" gemoy bgt woi🥰",mayi minta gemoy woi
gemesss bngtt mayiii🤏🏻😍,gemesss bngtt mayiii
ehhh mayiii lucuu bgtt😘😘😘😘,ehhh mayiii lucuu bgtt
kamrii,kamrii
lucu bgtttt ciiiiiii yampun nanti aku sma ank aku mau kaya gini jgaaa🥰,lucu bgtttt ciiiiiii yampun nanti sma ank mau kaya gini jgaaa
Mayii yaampun makin capetang aja alias udah jago ngomong😭😍❤❤❤,mayii makin capetang alias jago ngomong
poni nya😭,poni nya
gemes bgt nyanyi 😁lucucu,gemes nyanyi lucucu
poni mu mari plissss😭,poni mu mari plissss
itu poninya sarimi lu apain jen😭,poninya sarimi lu apain jen
Putihan kulitnya drpd cushionnya😭,putihan kulitnya drpd cushionnya
"""pake beda"" 😭",pake beda
""" mayi cantik kan""🤏😭😭",mayi cantik
mayii,mayii
"""Pakai bedak😭"" tau bgt ih gemesss💖🥰",pakai bedak tau ih gemesss
“mayi cantik kan”😭,mayi cantik
poni nya mayi siapa yg potongin 😭😭😭,poni nya mayi siapa potongin
demi apa pinter banget kamari,demi apa pinter kamari
😭❤,
adekk🥰🥰,adekk
cantik kan gesss?,cantik gesss
"masih GK rela poni nya😭,,",masih gk rela poni nya
poninya😭,poninya
GEMESSS 😫😫,gemesss
"""mah minta"" LUCU BGTT💕",mah minta lucu bgtt
mayiiiii...🤩,mayiiiii
"kak gue mimpiin Lo terus tau gak😭😭
gara"" sering nonton kamu",kak gue mimpiin lo terus tau gara sering nonton
Gemesss adekkk...🥰🥰🥰,gemesss adekkk
lucu banget mayi 😍,lucu mayi
mayii km sadar ga kalo km gemesin 😌,mayii km sadar kalo km gemesin
lailahailallah gemeshnya💗💗,lailahailallah gemeshnya
Mayiiii,mayiiii
cantik naturalll lucuuuu imutt kayaa kaka sama adik[drool],cantik naturalll lucuuuu imutt kayaa kaka sama adikdrool
mamari sekarang jdi balik lagi putihhh😍😍❤️❤️❤️🥰🫶🫶,mamari sekarang jdi balik lagi putihhh
Cantik banget jennifer🥰,cantik jennifer
😭😭😭😭😭😭😭 mayi,mayi
Lucu banget😭😭😭,lucu
itu shadeny g ke gelapan ??,shadeny gelapan
LUCU HEH,lucu heh
BOCILKU UDH BISA NGALAHIN EMAKK NYAAA,bocilku bisa ngalahin emakk nyaaa
kamariii sapaaaaa aku plisssss🥹🥹💋💋,kamariii sapaaaaa plisssss
“MAYII CANTIK KAN??”,mayii cantik
siapa yg potong poni mayi😭,siapa potong poni mayi
Sebelum ribuan,sebelum ribuan
ka jen kalo bales aku jungkir balikk deh🥰😅,ka jen kalo bales jungkir balikk
blonde otw jadi mua omg so cute!😍😍,blonde otw mua so cute
DWAAAAA TAONNNNNNNN☺,dwaaaaa taonnnnnnnn
absen sebulum ribuan,absen sebulum ribuan
cushion nya di bioku no 1🥰f,cushion nya bioku no
iya ngikutin jejak gua kan🙏🏻,iya ngikutin jejak gua
cushion nya di bioku no 1🥰🥰srt,cushion nya bioku no srt
cushion nya di bioku no 1🥰🥰o,cushion nya bioku no
cushion nya di bioku no 1🥰🥰e,cushion nya bioku no
cushion nya di bioku no 1🥰w,cushion nya bioku no
emakk nyaa tuu,emakk nyaa tuu
mintaaaa???😭😭😭😭,mintaaaa
poninyaaa imuttt btw kokk cropt topp😭😭😭 tapi tetep lucuu koo,poninyaaa imuttt kokk cropt topp tapi tetep lucuu koo
Jeni🤫🤫🤫🤫,jeni
senang deh liat mamari bahagia 😁🥰,senang liat mamari bahagia
pasti hasilnya bagus banget,pasti hasilnya bagus
lucu amatt bayikk,lucu amatt bayikk
