text,text_cleaned_full,manual
HEH ITU S PIRANG NGAPAIN TAP TAP CUSHION 😭,heh pirang ngapain tap tap cushion,
Soldout,soldout,
"""mayi mintak"" 😭🤏🏻",mayi mintak,
LAILAHAILALLAH 😭😭😭,lailahailallah,
ngapainnn mayii😭😭😭😭,ngapainnn mayii,
,,
YALLAH SEGARA PANJANGKAN PONI KAMARI😔🤲🏻,yallah segara panjangkan poni kamari,
lucu bgt si pirang😩,lucu si pirang,
bayikk bikin aliss😭😭,bayikk bikin aliss,
aelahhhhhh yok mar ikuttttttt,aelahhhhhh mar ikuttttttt,
😭,,
"""mayi minta""",mayi minta,
aaarrgghhh mayiii😖😖,aaarrgghhh mayiii,
poninya lama bgttt tumbuhnyaaa😭😭,poninya lama bgttt tumbuhnyaaa,
"""mau bantu mama mikaaap""😭🤣🤣 marr gemes bgt🥰🤣",mau bantu mama mikaaap marr gemes,
mayi mintaaa 😁,mayi mintaaa,
yaampun lucu bet poni crop top itu😣😭,lucu bet poni crop top,
lucu banget mayi nya 😆🤏🏼,lucu mayi nya,
kamari kamu itu udh putih 😭😭,kamari putih,
cara mengeluarkan kamari dari layar😭,cara mengeluarkan kamari layar,
Poni nya makin naikk😭,poni nya makin naikk,
ihhh mayiiku lucu bgt🤭,ihhh mayiiku lucu,
"poninya kenapa gaaaa panjang"" 😭",poninya kenapa gaaaa panjang,
ii,ii,
😂😂,,
😭😭😭,,
blonde ga tuh😭😭😭,blonde tuh,
🤩,,
💓💓💗💗,,
😭,,
kakk😭😭😭,kakk,
😭,,
🤣🤣🤣,,
😭,,
😂😂😂,,
😭,,
"aku kira ""pake bedak""😅🙏🤭",kira pake bedak,
cushionnya ada dibio ku no 1🥰n,cushionnya dibio ku no,
bagian mana itu kak,bagian mana kak,
lucu jir sumpah😭,lucu jir sumpah,
Mmayiii😍,mmayiii,
mayi gk poudetion mukanya dah kek poundetion,mayi gk poudetion mukanya dah kek poundetion,
lucuu banget yaa kak😭💗,lucuu kak,
@𝓮𝓵𝓵𝓮𝓲𝓷𝓼𝓸𝓪𝓻♡,,
dia sudah remaja😔💗,remaja,
15 mnt,mnt,
1jam😩,jam,
14minnn,minnn,
lucuuuuu😭,lucuuuuu,
😭😭😭😂,,
😂,,
@Lorita Enggong II,lorita enggong ii,
cushionnya ada dibio ku no 1🥰e,cushionnya dibio ku no,
ngakak😂😂😂,ngakak,
orange,orange,
pink gitu dia seger🤣🤣,pink seger,
T,,
😭😭,,
HAH?,hah,
HAHAHAHA,hahahaha,
😭😭,,
Kak☹,kak,
🗿,,
mana iya lagii😭,mana iya lagii,
loh kamu juga? kirain cuma aku aja,kirain cuma,
samaaa,samaaa,
iyaa plis d aku juga gitu😭,plis,
sama plis,sama plis,
samaaa😭😭,samaaa,
Iyah ih aku juga gitu,iyah ih,
sama kak 😁,sama kak,
SAMAAA,samaaa,
bener bgtt,bener bgtt,
Ingat @Mamanya kamari,ingat mamanya kamari,
(Ya Allah) bukan Yallah,allah bukan yallah,
aah😭,aah,
😂,,
😂😂,,
😭,,
Mending co timephoria apa shine russia??,mending co timephoria apa shine russia,
Makasih kak sarannyaa 🤗,kak sarannyaa,
Makasih kak sarannya 🤗,kak sarannya,
Bner yaaa???? Klo ku lot kering gmn???,bner yaaa ku lot kering gmn,
emang kan j3n suka kulit agak gelap wkwk,emang jn suka kulit agak gelap,
aku jg gtu tau😭nyamain sama warna tangan,gtu taunyamain sama warna tangan,
KIRAIIN AK AJA YG GINI😭,kiraiin ak gini,
emang dia suka yang tone gelap,emang suka tone gelap,
😳😍😁😏😏😂😂😇😇😇😇,,
heh,heh,
cushionnya ada dibio ku no 1🥰i,cushionnya dibio ku no,
mak nya anjir😭,mak nya,
😭😭,,
blonde gueeee😍🙌,blonde gueeee,
mayiiii,mayiiii,
